WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,100,5,3,455.93,440.68,7.67,7.32
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,200,5,2,363.21,356.85,6.03,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.2,1,100,100,5,2,16.46,10.62,5.78,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.2,1,100,200,5,2,16.55,10.67,5.72,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.4,1,100,0,0,2,39.32,33.51,5.74,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.4,1,100,50,5,2,32.32,26.51,5.73,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.4,1,100,100,5,2,36.7,29.7,6.88,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.4,1,100,200,5,2,37.14,30.59,6.32,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.6,1,100,0,0,2,79.78,73.5,6.16,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.6,1,100,50,5,2,81.07,74.52,6.42,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.6,1,100,100,5,2,79.62,73.49,5.98,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.6,1,100,200,5,2,83.15,76.94,5.95,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.8,1,100,0,0,3,168.04,156.34,5.85,5.7
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.8,1,100,50,5,3,157.8,146.07,5.99,5.59
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.8,1,100,100,5,3,156.14,144.66,5.76,5.57
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,0.8,1,100,200,5,2,156.16,150.21,5.68,
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,1,1,100,0,0,3,282.99,271,6.21,5.59
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,1,1,100,50,5,3,354.12,341.5,6.07,6.37
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,1,1,100,100,5,3,289.78,278,5.91,5.66
