SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,Aniso,200000,102,20000.0,34.66,"[7.74, 7.48, 7.56, 7.4]",187365,9.559491275658958,1.8131929515727714
Grid,varied,200000,102,0,34.4,"[7.91, 7.35, 7.37, 7.35]",408,17.255811228531154,16.714651263200313
Ball,varied,200000,102,20.0,34.1,"[7.68, 7.36, 7.25, 7.33]",152,19.291781752778203,6.474887109489779
Ball,varied,200000,102,200.0,34.38,"[7.79, 7.63, 7.29, 7.28]",1625,19.30490902315076,14.762981787895121
Ball,varied,200000,102,2000.0,34.48,"[7.67, 7.48, 7.45, 7.44]",59616,17.319136110486216,3.0687000895156706
Ball,varied,200000,102,20000.0,34.92,"[7.71, 7.67, 7.56, 7.59]",200000,16.788392869438308,8.523395020613727
Grid,Gaussian quantile,200000,102,0,34.95,"[8.07, 7.49, 7.64, 7.43]",54,4.094252287689159,0.49944576829338677
Ball,Gaussian quantile,200000,102,20.0,34.2,"[7.75, 7.57, 7.31, 7.16]",21,8.061194069822323,6.026252912381342
Ball,Gaussian quantile,200000,102,200.0,34.51,"[7.81, 7.48, 7.42, 7.31]",201,6.5818021806951785,2.5407388102647404
Ball,Gaussian quantile,200000,102,2000.0,34.33,"[7.72, 7.54, 7.36, 7.28]",29345,5.2738829377601855,3.220043674098818
Ball,Gaussian quantile,200000,102,20000.0,34.67,"[7.65, 7.6, 7.54, 7.44]",187164,4.952286843865865,0.9935772212998742
Grid,Noisy circle,1000000,102,0,757.53,"[9.96, 7.9, 7.31, 7.42]",4,2.2795908471389286,1.101331292462274
Ball,Noisy circle,1000000,102,100.0,753.12,"[9.43, 8.03, 7.33, 7.24]",101,1.7412293629555973,0.5617456891981126
Ball,Noisy circle,1000000,102,1000.0,755.46,"[9.69, 7.8, 7.32, 7.22]",1001,1.7934273672720984,0.9119203183249923
Ball,Noisy circle,1000000,102,10000.0,753.94,"[9.63, 8.26, 7.88, 7.58]",30002,1.5799752977249082,0.9018652066785146
Ball,Noisy circle,1000000,102,100000.0,767.49,"[9.58, 9.85, 10.19, 13.79]",729694,1.3448072587604105,0.6530746997858115
Grid,Noisy moon,1000000,102,0,760.13,"[9.74, 7.86, 7.59, 7.43]",4,2.5747305411909913,2.911014746128412
Ball,Noisy moon,1000000,102,100.0,801.88,"[9.55, 7.82, 7.37, 7.26]",101,2.935948359367391,1.1198169879223605
Ball,Noisy moon,1000000,102,1000.0,757.49,"[9.52, 7.75, 7.31, 7.23]",1001,2.341001872181112,1.2450401403352647
Ball,Noisy moon,1000000,102,10000.0,761.36,"[9.54, 8.26, 7.98, 7.3]",30904,2.2487941971762666,2.270887769239837
Ball,Noisy moon,1000000,102,100000.0,768.7,"[9.47, 9.5, 10.7, 14.44]",933963,1.6673808381960238,1.8651352851521952
Grid,Blobs,1000000,102,0,765.04,"[10.29, 7.6, 7.24, 7.16]",4,44.28652684251407,29.41109101484028
Ball,Blobs,1000000,102,100.0,759.65,"[9.95, 7.51, 7.24, 7.15]",101,32.13613808148175,12.79789693742561
